"datetime","Subject.ID","Sex","prime_code","prime_condition","prime_response","triv1_raw","triv1_correct","triv2_raw","triv2_correct","triv3_raw","triv3_correct","triv4_raw","triv4_correct","triv5_raw","triv5_correct","triv6_raw","triv6_correct","triv7_raw","triv7_correct","triv8_raw","triv8_correct","triv9_raw","triv9_correct","triv10_raw","triv10_correct","triv11_raw","triv11_correct","triv12_raw","triv12_correct","triv13_raw","triv13_correct","triv14_raw","triv14_correct","triv15_raw","triv15_correct","triv16_raw","triv16_correct","triv17_raw","triv17_correct","triv18_raw","triv18_correct","triv19_raw","triv19_correct","triv20_raw","triv20_correct","triv21_raw","triv21_correct","triv22_raw","triv22_correct","triv23_raw","triv23_correct","triv24_raw","triv24_correct","triv25_raw","triv25_correct","triv26_raw","triv26_correct","triv27_raw","triv27_correct","triv28_raw","triv28_correct","triv29_raw","triv29_correct","triv30_raw","triv30_correct","age","major","language","sex_r","year","area_writing","area_trivia","purpose","link_yn","link_text","thinking_yn","thinking_text","comments","prior_hool","Universitätsprofessor_int_rating","Universitätsprofessor_acc_rating","Fußballhooligan_int_rating","Fußballhooligan_acc_rating","correct_raw","correct_pct","hupf_corr_pct"
"20181106-132753",102,"f",0,"Fußballhooligan","Ich habe eine Abgeschlossene Lehre, jedoch keinen Hochschulabschluss, und arbeite auf dem Bau. Ich verfolge meinen Lieblingssport ��über die Zeitung und den Fernseher jedes mal wenn ich Zeit habe, auch auf dem Handy. Meine Persönlichkeitsmerkmale sind, dass ich sehr treu bin und entschlossen. Den Abend verbringe ich gerne mit meinen Freunden in einer Bar oder zu Hause vor dem Fernseher. Wenn ein Match meiner Lieblingsmannschaft in der Nähe stattfindet, bin ich natürlich dort anwesend. 
","Uganda",FALSE,"HTML",FALSE,"Bisamratte",FALSE,"Mars",FALSE,12,TRUE,"Bangladesch",FALSE,"Arm",TRUE,4,TRUE,"Bronze",TRUE,"Welle",TRUE,"Isobare",TRUE,21,TRUE,10,FALSE,120,FALSE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Temperatur",FALSE,"Blue Knight",FALSE,"Kontinentalrift",FALSE,"Faschismus",TRUE,"Penicillin",TRUE,"Pablo Picasso",TRUE,31,FALSE,"In der Nase",FALSE,"Sibirien",TRUE,"Jupiter",TRUE,"Händel",FALSE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,23,"Geographie","Deutsch","weiblich","im ersten Jahr","Sozialpsychologie","Methodenforschung","Der Zweck der ersten Studie war wahrscheinlich, wie bestimmte Menschen von anderen Menschen beurteilt werden, also was für Vorurteile sie haben. Die Zweite diente dazu, das Allgemeinwissen der Testpersonen zu testen.","nein",NA,"nein",NA,"Nein","ja",70,21,50,15,17,56.6666666666667,33.3333333333333
"20181106-132509",103,"m",0,"Fußballhooligan","Tagesablauf: Ich stehe spät auf und treffe mich anschliessend in der Stadt mit anderen Hooligans, um mich bereits vor dem Fussballspiel zu betrinken. Am Nachmittag findet das Fussballspiel statt, fü�r das ich mich ins Stadion begebe. Bereits vor dem Stadion pöble ich gegnerische Fans an. Im Stadion trinke ich weiter und singe Fanlieder. Entscheidet der Schiedsrichter gegen die Mannschaft, die ich unterst�ütze, raste ich aus und schreie herum.

Aktivitäten: Herumschreien, pöbeln, Feuerwerke zünden

Charaktereigenschaften: Ich fühle mich nur in der Masse stark und lasse mich von Gruppendynamik zu Taten verleiten, zu denen ich allein nicht im ss
","Botswana",TRUE,"HTML",FALSE,"Wasserschwein",TRUE,"Erde",TRUE,12,TRUE,"Indien",TRUE,"Arm",TRUE,4,TRUE,"Messing",FALSE,"Welle",TRUE,"Isobare",TRUE,21,TRUE,10,FALSE,360,FALSE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Strahlung",TRUE,"Deep Blue",TRUE,"Kontinentalsockel",TRUE,"Faschismus",TRUE,"Penicillin",TRUE,"Pablo Picasso",TRUE,29,TRUE,"In der Lunge",FALSE,"Sibirien",TRUE,"Jupiter",TRUE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,23,"Rechtswissenschaften (MLaw)","Deutsch","männlich","vier Jahre oder mehr","Verhaltensforschung","Kognitition","Konzentrationsleistung","ja",NA,"nein",NA,"Nein","ja",95,23,25,8,25,83.3333333333333,66.6666666666667
"20181106-134105",106,"f",0,"Fußballhooligan","Ich bin faszinert von Fussballspiele. Ich finde nicht nur Fussball an sich toll, ich mag auch die gespannte Atmosphäre und die ausgelassene Stimmung. Ich fühle mich oft so in mein Team hineinversetzt, dass ich das Gefühl habe, ich spiele selber und wäre auch Teil des Teams. Ist nicht Spielsaison gehe ich einem gewönhlichen Beruf nach. Ich arbeite Montag bis Freitag in einem Büro und nehme nicht an, dass andere mich als auffällig beschreiben würden. Nach der Arbeit gehe ich in den Sportverein meines Dorfes und engagiere mich ehrenamtlich im Bereich der Kinderbetreung.
Das spanndende
","Botswana",TRUE,"ASCII",TRUE,"Biber",FALSE,"Uranus",FALSE,12,TRUE,"Pakistan",FALSE,"Arm",TRUE,4,TRUE,"Bronze",TRUE,"Welle",TRUE,"Isobare",TRUE,20,FALSE,20,TRUE,180,TRUE,"Mars",FALSE,"Michail Gorbatschow",TRUE,"Strahlung",TRUE,"Deep Thought",FALSE,"Kontinentalrift",FALSE,"Republik",FALSE,"Penicillin",TRUE,"Salvador Dali",FALSE,29,TRUE,"In der Lunge",FALSE,"Sibirien",TRUE,"Jupiter",TRUE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,20,"Geographie
","Deutsch","weiblich","im ersten Jahr","Neurowissenschaften
Verhaltensforschung","Psychologie","Verhaltensforschung","ja",NA,"nein",NA,"nein","ja",75,15,50,15,20,66.6666666666667,100
"20181106-144624",108,"f",1,"Universitätsprofessor","Am morgen unterichte ich an der Uni bis etwa um 12.00Uhr. Am Nachmittag nehme ich mir Zeit an meiner Literaturrecherche zu arbeiten. Ab und zu kommt noch ein PHD Student vorbei den ich betreue. Ich lese sehr gerne , vorallem in meinem Fachgebiet aber abends zum entspannen lese ich gerne einen Roman um vom Altag abzuschalten. Desweiteren versuche ich ab und zu Sport zu machen , vor allem schwimme ich gerne. Ich trinke sehr viel Kaffee. Von meinen Kollegen werde ich respektiert und oft um mein Fachwissenum rat gebeten. Einige Personnen nehemen mich auch als arrogant war, aber einige bewunderen genau diese Eigenschaft an mir. Ich bin bei den Studenten beliebt da ich mit witz unterrichte und immer eine ofenen tür für ds
","Zimbabwe",FALSE,"HTML",FALSE,"Biber",FALSE,"Mars",FALSE,6,FALSE,"Bangladesch",FALSE,"Arm",TRUE,9,FALSE,"Messing",FALSE,"Säule",FALSE,"Isotherme",FALSE,21,TRUE,20,TRUE,180,TRUE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Niederschlag",FALSE,"Deep Thought",FALSE,"Kontinentalrift",FALSE,"Kommunismus",FALSE,"Penicillin",TRUE,"Salvador Dali",FALSE,30,FALSE,"In der Wirbelsäule",FALSE,"Sibirien",TRUE,"Saturn",FALSE,"Beethoven",FALSE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,26,"VWL","Portugiesisch","weiblich","vier Jahre oder mehr","sozial psychologie","kwm","keine Ahnung","ja",NA,"nein",NA,"nein","ja",45,14,65,16,11,36.6666666666667,33.3333333333333
"20181106-160126",111,"f",0,"Fußballhooligan","Ich bin 23 Jahre alt und ein Fussballhooligan. Während der Woche  gehe ich zur Uni, am Abend treffe ich mich oftmals mit Freunden in einer Bar oder gehe in einen Kraftraum oder zum Boxen. Am
Wochenende steht das P�rogramm fest: an den nächsten Fussballmatch gehen. Für mich spielt es nicht unbedingt eine grosse Rolle welches Team am Match spielt. Hauptsache ich komme in die Arena
undkann dort mit meinen Kollegen zusammen den match schauen und pöbeln. Wir gehen immer in den Fansektor und jubeln dort mit den anderen Fans mit .Unter der Kleidung bringen wir Pürros mit und fackeln die inmitten der Menge ab. Das Wichtigste am Matchi ist mir nicht welches Team gewinnt, sondern dass ich am Ende des SPielt mit den anderen Fans eine Schlägerein anstachenln kann. Obwohl ich sonst iwährend der Woche in eine ruhige Person bin, werde ich nach dem Match richtig wüend und h
","Uganda",FALSE,"ASCII",TRUE,"Nutria",FALSE,"Mars",FALSE,12,TRUE,"Indien",TRUE,"Arm",TRUE,4,TRUE,"Hartzinn",FALSE,"Welle",TRUE,"Isobare",TRUE,21,TRUE,20,TRUE,360,FALSE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Strahlung",TRUE,"Blue Knight",FALSE,"Kontinentalrift",FALSE,"Republik",FALSE,"Röntgenstrahlen",FALSE,"Pablo Picasso",TRUE,29,TRUE,"Im Rachen",TRUE,"Sibirien",TRUE,"Saturn",FALSE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,22,"Geographie, Volkswirtschaftslehre","englisch","weiblich","im dritten Jahr","Sozialpsychologie","Wahrnehmungspsychologie","Studie 1: herausfinden, welche Begriffe mit Hooligans assoziiert werden

Studie 2: Das durchschnittliche Allgemeinbildungsniveau von Studenten/anderen PErsonen herausfinden. ","ja",NA,"nein",NA,"Keine Antwort","ja",98,21,37,13,20,66.6666666666667,100
"20181106-160355",112,"f",0,"Fußballhooligan","Mein Wecker klingelt und ich stehe auf. Heute dusche ich mich mal wieder, rasieren ist nicht nötig. Ich fahre mit dem Auto zur Arbeit. Dort verbringe ich 8.5 Stunden. Um 9 Uhr gibts ein Sandwich zum Znüni. Nach der Arbeit treffe ich sofort meine Freunde. Wir haben noch Bier in meinem Kofferraum. Dort befindet sich auch meine Fahne für den Fussballclub, den ich so toll finde Ich werde sehr schnell agressiv, wenn mich jemand reizt. 
","Botswana",TRUE,"HTML",FALSE,"Bisamratte",FALSE,"Mars",FALSE,8,FALSE,"Bangladesch",FALSE,"Arm",TRUE,6,FALSE,"Messing",FALSE,"Welle",TRUE,"Isotherme",FALSE,21,TRUE,20,TRUE,180,TRUE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Temperatur",FALSE,"Blue Knight",FALSE,"Kontinentalrift",FALSE,"Faschismus",TRUE,"Penicillin",TRUE,"Paul Cezanne",FALSE,30,FALSE,"In der Nase",FALSE,"Sibirien",TRUE,"Jupiter",TRUE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,23,"Geographie und VWL","Deutsch","weiblich","im dritten Jahr","verhaltens Psychologie","sozial Psychologie","1. sich in eine andere Person versetzen
2. was der Einfluss ist, wenn man weiss wie schwierige Aufgaben man bekommt auf die Antworten","ja",NA,"nein",NA,"nein","ja",80,22,35,11,16,53.3333333333333,33.3333333333333
"20181106-164245",113,"f",0,"Fußballhooligan","Ich führe ein Leben wie die meisten Menschen auch. Morgens gehe ich zur Arbeit. Ich bin im Strassenbau angestellt. Vor allem im Sommer geniesse ich das eine oder andere Bier am Abend mit meinen Arbeitskollegen und/oder Freunden. Während der Arbeit lasse ich gerne den einen oder anderen S�pruch gegen�über Passanten fallen - ob sie angemessen sind oder wie sie ankommen, interessiert mich ewnig bis gar nicht. Solange mir gegenüber niemand blöd kommt, bin ich zufrieden. Allerdings gebe ich klar den Tarif durch, solltejemand mich oder meinen Fussballklub blöd anmachen. Die Wochenenden verbringe ich in der Fankurve meines Vereins. Dort bin ich 
","Botswana",TRUE,"HTML",FALSE,"Biber",FALSE,"Erde",TRUE,8,FALSE,"Bangladesch",FALSE,"Arm",TRUE,4,TRUE,"Bronze",TRUE,"Welle",TRUE,"Isobare",TRUE,21,TRUE,20,TRUE,180,TRUE,"Venus",TRUE,"Nikita Chruschtschow",FALSE,"Temperatur",FALSE,"King Blue",FALSE,"Kontinentalfuß",FALSE,"Republik",FALSE,"Penicillin",TRUE,"Salvador Dali",FALSE,29,TRUE,"Im Rachen",TRUE,"Sibirien",TRUE,"Jupiter",TRUE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,22,"Betriebswirtschaftslehre Major
Englisch Minor","Deutsch","weiblich","im zweiten Jahr","Sozialwissenschaft","Neurowissenschaft","Aufsatz: Stereotypisierung von Menschengruppen
Allgemeinwissen: Auswirkungen mehrerer Ausbildungsjahre auf das Allgemeinwissen","ja","Fussballhooligans werden als Menschen mit geringerer Ausbildung angesehen und sollten daher theoretisch schlecht abschneiden in einem Allgemeinwissenstest. Ausserdem sind sie meistens jung und konnten sich noch nicht so viel Wissen aneignen.","nein","Ich habe mir keine Gedanken mehr darüber gemacht, dass ich ein Fussballhooligan sein soll. Diese Rolle ist mir auch sehr fern, da ich weder oft im Stadion bin noch viel trinke und daher mit dieser Rolle nicht viel anfangen konnte.","Ich hätte mehr Zeit gebraucht, um den Aufsatz zu schreiben. Das kommt wahrscheinlich auf den Menschentyp drauf an, aber ich war noch weit entfernt vom Ziel und konnte daher nicht alle Fragen beantworten.","ja",80,24,28,12,20,66.6666666666667,100
"20181107-131507",114,"f",1,"Universitätsprofessor","Als Universitätsprofessor arbeite ich an der Universität. Ich gebe Vorlesung und versuche meinen Studenten etwas beizubringen, was nicht immer einfach ist. Zudem forsche ich neben bei an meinem Themenschwerpunkt und möchte meine Ergebnisse nach dem Abschluss gerne in einer Zeitschrift veröffentlichen. Die meiste Zeit verbringe ich an der Universität oder in irgendwelchen Biblotheken. Viel Zeit für andere Aktivitäten bleibt da leider nicht immer. 
","Uganda",FALSE,"HTML",FALSE,"Bisamratte",FALSE,"Erde",TRUE,12,TRUE,"Bangladesch",FALSE,"Arm",TRUE,4,TRUE,"Messing",FALSE,"Welle",TRUE,"Fronten",FALSE,21,TRUE,20,TRUE,180,TRUE,"Venus",TRUE,"Michail Gorbatschow",TRUE,"Strahlung",TRUE,"Blue Knight",FALSE,"Kontinentalsockel",TRUE,"Republik",FALSE,"Penicillin",TRUE,"Salvador Dali",FALSE,29,TRUE,"Im Rachen",TRUE,"Sibirien",TRUE,"Jupiter",TRUE,"Tschaikowski",TRUE,"Luftdruck",TRUE,"Keratin",TRUE,"Frankreich",TRUE,25,"Rechtswissenschaften","Deutsch","weiblich","vier Jahre oder mehr","Psychologie","Psychologie","Errinerungsverm�ögen","ja",NA,"nein",NA,"nein","ja",50,12,75,15,21,70,100
"20181107-131621",115,"f",1,"Universitätsprofessor","Mein Tagesablauf sieht wie folgt aus: Ich stehe morgens auf, mache mich fertig um aus dem Haus zu gehen und trinke zuvor noch einen Kaffee und esse ein Müsli. Danach fahre ich mit dem �Auto zur Uni in mein Büro. Bis zur Kaffepause arbeite ich die Mails meiner Studenten ab und beantworte ihre Fragen. Zumeinen Stärken gehört es, autoritär aufzutr�eten aber doch zu versuchen, den Studenten auf Augenhöhe zu begegnen, damit sie sich wohl fühlen und sich nicht scheuen mir Fragen zu stellen. Was mir aber als typischer Professor nicht immer gelingt. Einige meiner Studenten sehen mich als ein wenig verwirrt, weil ich ziemlich viele Gedanken im Kopf habe und gleichzeitig mehrere Arbeiten selber schreiben muss und berete
","Botswana",TRUE,"HTML",FALSE,"Nutria",FALSE,"Erde",TRUE,12,TRUE,"Bangladesch",FALSE,"Arm",TRUE,9,FALSE,"Messing",FALSE,"Welle",TRUE,"Fronten",FALSE,21,TRUE,10,FALSE,180,TRUE,"Merkur",FALSE,"Michail Gorbatschow",TRUE,"Strahlung",TRUE,"King Blue",FALSE,"Kontinentalabhang",FALSE,"Faschismus",TRUE,"Röntgenstrahlen",FALSE,"Salvador Dali",FALSE,31,FALSE,"Im Rachen",TRUE,"Sibirien",TRUE,"Saturn",FALSE,"Beethoven",FALSE,"Lufttemperatur",FALSE,"Keratin",TRUE,"Frankreich",TRUE,25,"Rechtswissenschaften","Deutsch","weiblich","vier Jahre oder mehr","Verhaltenspsychologie","Verhaltenspsychologie
","Fremdwahrnehmung und Selbsteinschätzung","ja",NA,"nein",NA,"-","ja",30,4,50,15,14,46.6666666666667,0
"20181107-133006",116,"f",1,"Universitätsprofessor","Mein Tagesablauf sieht wie folgt aus: Ich beginne meinen Tag im Büro, wo ich mich entweder mit meiner aktuellen Forschungsfrage befasse (ich arbeite z.B. an einem Gutachten) oder mich auf kommende Vorlesungen vorbereite. Die Vorlesungsnotizen erhalte ich von meinen Assistierenden. Ein kurzes Vorbereiten auf den Kurs ist trotzdem nötig. 
Die typischen Aktivitäten sind demnach die folgenden: Verfassen von Schriften, Gutachten, Artikeln etc. Vorbereiten und Halten von Vorlesungen, Sitzungen mit Assistierenden bezgl. aktuellen Forschungen etc. Ich würde mich als offene Person beschreiben, die aber den Erfolg im Blick behält. Ich bin eher ruhig und agiere gerne im Hintergrund. Zu meinen Interessen gehört Politik, Literatur und Natur.
","Zimbabwe",FALSE,"ASCII",TRUE,"Biber",FALSE,"Mars",FALSE,12,TRUE,"Philippinen",FALSE,"Arm",TRUE,4,TRUE,"Bronze",TRUE,"Welle",TRUE,"Isobare",TRUE,21,TRUE,20,TRUE,120,FALSE,"Venus",TRUE,"Alexander Popow",FALSE,"Druck",FALSE,"Blue Knight",FALSE,"Kontinentalsockel",TRUE,"Faschismus",TRUE,"Stethoskop",FALSE,"Paul Cezanne",FALSE,28,FALSE,"In der Lunge",FALSE,"Sibirien",TRUE,"Neptun",FALSE,"Tschaikowski",TRUE,"Lufttemperatur",FALSE,"Kollagen",FALSE,"Frankreich",TRUE,26,"Rechtswissenschaften","Deutsch","weiblich","vier Jahre oder mehr","Sozialpsychologie","Kognition","keine Ahnung
","ja",NA,"nein",NA,"nein","ja",45,9,55,18,15,50,66.6666666666667
