Subject.ID,sex_r,prime_code,prime_condition,age,link_yn,thinking_yn,prior_hool,prof_int,prof_acc,hool_int,hool_acc,correct_raw,correct_pct,correct_raw_red,correct_pct_red
102,weiblich,0,Fußballhooligan,23,nein,nein,ja,70,21,50,15,17,56.6666666666667,14,66.66666666666666
103,männlich,0,Fußballhooligan,23,ja,nein,ja,95,23,25,8,25,83.3333333333333,21,100
106,weiblich,0,Fußballhooligan,20,ja,nein,ja,75,15,50,15,20,66.6666666666667,15,71.42857142857143
108,weiblich,1,Universitätsprofessor,26,ja,nein,ja,45,14,65,16,11,36.6666666666667,8,38.095238095238095
111,weiblich,0,Fußballhooligan,22,ja,nein,ja,98,21,37,13,20,66.6666666666667,15,71.42857142857143
112,weiblich,0,Fußballhooligan,23,ja,nein,ja,80,22,35,11,16,53.3333333333333,12,57.14285714285714
113,weiblich,0,Fußballhooligan,22,ja,nein,ja,80,24,28,12,20,66.6666666666667,15,71.42857142857143
114,weiblich,1,Universitätsprofessor,25,ja,nein,ja,50,12,75,15,21,70,17,80.95238095238095
115,weiblich,1,Universitätsprofessor,25,ja,nein,ja,30,4,50,15,14,46.6666666666667,10,47.61904761904761
116,weiblich,1,Universitätsprofessor,26,ja,nein,ja,45,9,55,18,15,50,10,47.61904761904761
117,weiblich,1,Universitätsprofessor,26,nein,nein,ja,50,15,50,15,19,63.3333333333333,15,71.42857142857143
118,männlich,0,Fußballhooligan,23,nein,nein,ja,81,22,50,15,21,70,15,71.42857142857143
119,männlich,1,Universitätsprofessor,26,nein,nein,ja,50,15,60,19,21,70,18,85.71428571428571
120,männlich,1,Universitätsprofessor,24,nein,nein,ja,40,15,60,18,13,43.3333333333333,9,42.857142857142854
121,männlich,0,Fußballhooligan,22,ja,nein,ja,80,26,24,10,21,70,16,76.19047619047619
122,weiblich,1,Universitätsprofessor,24,nein,nein,ja,48,12,73,24,17,56.6666666666667,12,57.14285714285714
123,weiblich,0,Fußballhooligan,23,ja,nein,ja,75,18,50,15,20,66.6666666666667,14,66.66666666666666
125,weiblich,1,Universitätsprofessor,18,nein,nein,ja,30,15,65,20,18,60,13,61.904761904761905
127,männlich,1,Universitätsprofessor,27,nein,nein,ja,30,8,85,25,21,70,16,76.19047619047619
128,weiblich,0,Fußballhooligan,22,nein,nein,ja,81,20,50,15,16,53.3333333333333,13,61.904761904761905
129,männlich,0,Fußballhooligan,22,ja,nein,ja,50,20,50,17,17,56.6666666666667,10,47.61904761904761
130,männlich,0,Fußballhooligan,25,ja,nein,ja,75,20,40,15,18,60,15,71.42857142857143
131,weiblich,0,Fußballhooligan,23,nein,nein,ja,75,25,28,9,23,76.6666666666667,17,80.95238095238095
132,weiblich,0,Fußballhooligan,24,ja,nein,ja,79,18,58,16,19,63.3333333333333,14,66.66666666666666
133,männlich,1,Universitätsprofessor,21,nein,nein,ja,21,4,81,26,12,40,9,42.857142857142854
134,weiblich,1,Universitätsprofessor,21,ja,nein,ja,29,8,72,17,16,53.3333333333333,13,61.904761904761905
135,männlich,1,Universitätsprofessor,25,ja,nein,ja,39,13,70,15,15,50,10,47.61904761904761
136,männlich,1,Universitätsprofessor,30,nein,nein,ja,1,6,42,16,15,50,6,28.57142857142857
137,weiblich,1,Universitätsprofessor,30,nein,nein,ja,31,5,86,19,21,70,15,71.42857142857143
138,weiblich,0,Fußballhooligan,28,nein,nein,ja,60,15,40,15,21,70,17,80.95238095238095
139,männlich,1,Universitätsprofessor,28,nein,nein,ja,50,13,68,18,19,63.3333333333333,13,61.904761904761905
141,männlich,0,Fußballhooligan,22,ja,nein,ja,50,15,35,10,21,70,15,71.42857142857143
143,männlich,1,Universitätsprofessor,29,ja,nein,ja,65,17,55,17,19,63.3333333333333,14,66.66666666666666
144,weiblich,0,Fußballhooligan,21,nein,nein,ja,85,15,43,8,17,56.6666666666667,13,61.904761904761905
148,männlich,1,Universitätsprofessor,21,nein,nein,ja,25,10,80,23,20,66.6666666666667,13,61.904761904761905
150,weiblich,0,Fußballhooligan,25,nein,nein,ja,70,25,60,19,12,40,8,38.095238095238095
152,weiblich,1,Universitätsprofessor,24,ja,nein,ja,37,7,75,20,19,63.3333333333333,16,76.19047619047619
155,weiblich,1,Universitätsprofessor,23,nein,nein,ja,31,3,65,21,21,70,17,80.95238095238095
157,männlich,1,Universitätsprofessor,26,ja,nein,ja,50,15,50,15,23,76.6666666666667,17,80.95238095238095
158,männlich,0,Fußballhooligan,31,ja,nein,ja,62,20,44,12,22,73.3333333333333,17,80.95238095238095
159,männlich,1,Universitätsprofessor,24,ja,nein,ja,66,15,84,15,25,83.3333333333333,19,90.47619047619048
160,männlich,1,Universitätsprofessor,22,nein,nein,ja,35,9,80,24,20,66.6666666666667,15,71.42857142857143
161,weiblich,0,Fußballhooligan,22,nein,nein,ja,80,20,35,12,20,66.6666666666667,14,66.66666666666666
162,weiblich,1,Universitätsprofessor,22,nein,nein,ja,50,15,50,15,14,46.6666666666667,10,47.61904761904761
164,männlich,1,Universitätsprofessor,21,nein,nein,ja,40,11,72,20,23,76.6666666666667,17,80.95238095238095
168,männlich,1,Universitätsprofessor,21,ja,nein,ja,45,15,60,20,17,56.6666666666667,12,57.14285714285714
170,männlich,0,Fußballhooligan,20,nein,nein,ja,73,17,37,11,16,53.3333333333333,12,57.14285714285714
171,weiblich,0,Fußballhooligan,25,nein,nein,ja,78,17,51,4,22,73.3333333333333,17,80.95238095238095
172,weiblich,1,Universitätsprofessor,20,ja,nein,ja,40,9,61,15,21,70,16,76.19047619047619
173,weiblich,1,Universitätsprofessor,23,ja,nein,ja,41,10,70,23,24,80,19,90.47619047619048
174,männlich,1,Universitätsprofessor,22,ja,nein,ja,50,18,50,21,15,50,11,52.38095238095239
175,männlich,0,Fußballhooligan,22,ja,nein,ja,65,15,45,11,17,56.6666666666667,12,57.14285714285714
176,weiblich,1,Universitätsprofessor,23,ja,nein,ja,20,10,90,25,20,66.6666666666667,15,71.42857142857143
177,männlich,1,Universitätsprofessor,21,nein,nein,ja,60,15,80,22,19,63.3333333333333,14,66.66666666666666
179,weiblich,1,Universitätsprofessor,19,nein,nein,ja,50,10,70,25,13,43.3333333333333,9,42.857142857142854
182,weiblich,1,Universitätsprofessor,23,ja,nein,ja,48,12,59,19,17,56.6666666666667,12,57.14285714285714
183,weiblich,1,Universitätsprofessor,25,ja,nein,ja,0,15,70,15,17,56.6666666666667,13,61.904761904761905
184,weiblich,1,Universitätsprofessor,24,ja,nein,ja,50,15,55,17,21,70,16,76.19047619047619
185,weiblich,1,Universitätsprofessor,22,ja,nein,ja,40,15,60,16,17,56.6666666666667,13,61.904761904761905
186,weiblich,0,Fußballhooligan,23,nein,nein,ja,80,20,50,12,20,66.6666666666667,15,71.42857142857143
187,weiblich,0,Fußballhooligan,24,nein,nein,ja,85,22,35,10,21,70,16,76.19047619047619
190,weiblich,1,Universitätsprofessor,24,nein,nein,ja,40,13,85,20,17,56.6666666666667,11,52.38095238095239
191,männlich,0,Fußballhooligan,24,ja,nein,ja,70,17,30,10,23,76.6666666666667,18,85.71428571428571
