"datetime","Subject.ID","Sex","prime_code","prime_condition","prime_response","triv1_raw","triv1_correct","triv2_raw","triv2_correct","triv3_raw","triv3_correct","triv4_raw","triv4_correct","triv5_raw","triv5_correct","triv6_raw","triv6_correct","triv7_raw","triv7_correct","triv8_raw","triv8_correct","triv9_raw","triv9_correct","triv10_raw","triv10_correct","triv11_raw","triv11_correct","triv12_raw","triv12_correct","triv13_raw","triv13_correct","triv14_raw","triv14_correct","triv15_raw","triv15_correct","triv16_raw","triv16_correct","triv17_raw","triv17_correct","triv18_raw","triv18_correct","triv19_raw","triv19_correct","triv20_raw","triv20_correct","triv21_raw","triv21_correct","triv22_raw","triv22_correct","triv23_raw","triv23_correct","triv24_raw","triv24_correct","triv25_raw","triv25_correct","triv26_raw","triv26_correct","triv27_raw","triv27_correct","triv28_raw","triv28_correct","triv29_raw","triv29_correct","triv30_raw","triv30_correct","age","major","language","sex_r","year","area_writing","area_trivia","purpose","link_yn","link_text","thinking_yn","thinking_text","comments","prior_hool","UniversitÃ.tsprofessor_int_rating","UniversitÃ.tsprofessor_acc_rating","FuÃ.ballhooligan_int_rating","FuÃ.ballhooligan_acc_rating","subjID","sex","professor_int_rating","professor_acc_rating","soccer.hooligan_int_rating","soccer.hooligan_acc_rating","triv31_raw","triv31_correct","correct_raw","skipped_raw","correct_pct","correct_skip_pct"
"20161013-142404","10","w",0,"FuÃballhooligan","Mein Tagesablaub ist fast jeden Tag gleich. Ich stehe auf, meistens etwas zu spÃ¤t, fahre mit dem Auto zu meiner Bude, von wo aus ich mit meinen Arbeitskollegen jeweils zur Baustelle fahre, an der wir gerade arbeiten. Auf dem Weg holen wir uns meistens ein RedBull um wach zu werden. Mittags essen wir in einer Kebbab Bude, meistens die selbe. Nach der Arbeit treffe ich normalerweise meine Freunde auf ein Feierabendbier. Wir kennen uns alle scho lang, seit der Sekundarschule. Wenn ich nach Hause komme  wir als erstes der Fernseher eingeschaltet vor dem ich dann auch meistens einschlafe. ","Botswana","True","HTML","False","Biber","False","Uranus","False",12,"True","Philippinen","False","Arm","True","Guy Fawkes","True","Messing","False","Welle","True","Isobare","True",20,"False","Ford","False",180,"True","Venus","True","Michail Gorbatschow","True","Strahlung","True","Blue Knight","False","Kontinentalrift","False","Republik","False","Penicillin","True","Henri Matisse","False","Rio Rojo","False","In der Nase","False","Kasachstan","False","Saturn","False","Beethoven","False","Luftdruck","True","Keratin","True","Frankreich","True",20,"Jus","Deutsch","female","im ersten Jahr","hooligan","Stufe 5","Keine Ahnung","ja",NA,"nein",NA,"nein","ja",80,18,20,6,NA,NA,NA,NA,NA,NA,NA,NA,14,0,46.6666666666667,46.6666666666667
"20161101-161015","100","m",0,"FuÃballhooligan","Der Wecker reisst mich um 5.50 Uhr aus dem Schlaf. Der SchÃ¤del brummt noch gewaltig vom vielen Bier , das ich gestern mit meinen Kollegen getrunken habe. Doch bei so einem scheiss Fussballspiel muss man ja viel trinken. Nach der obligaten Marlboro Rot fahre ich auf die Baustelle . Ab dem Mittag freue ich mich bereits aufs Live-Spiel im Stadion. Endlich wieder einmal den scheiss Baslern auf die Fresse geben . Beim Spiel am Abend gibtse eine anstÃ¤","Botswana","True","ASCII","True","Biber","False","Erde","True",8,"False","Pakistan","False","Arm","True","Guy Fawkes","True","Messing","False","Eisberg","False","Isobare","True",21,"True","Ford","False",360,"False","Merkur","False","Boris Jeltsin","False","Strahlung","True","Blue Knight","False","KontinentalfuÃ","False","Demokratie","False","Penicillin","True","Paul Cezanne","False","Rio Grande","True","Im Rachen","True","Sibirien","True","Jupiter","True","Mozart","False","Luftdruck","True","Kollagen","False","Frankreich","True",23,"Sportwissenschaft","Deutsch","male","im dritten Jahr","Sozialforschung","Allgemeinbildung","Vergleich Allgemeinbildung und Sozialverhalten","ja",NA,"nein",NA,"NÃ¶","ja",70,19,35,13,NA,NA,NA,NA,NA,NA,NA,NA,15,0,50,50
"20161101-163447","101","w",0,"FuÃballhooligan","ich gÃ¶nne mir noch vor dem aufstehen ein bier und eine zigarette. danach gehe ich duschen und fahre auf die baustelle. da bereits am mittag keine arbeit mehr da ist gehe ich nach hause und bereite mich auf einen aben mit den jungs vor. wir treffen und im pub und sauffen ein bier nach dem anderen. leider spielt unser team auswÃ¤rts, also verfolgen wir das spiel am tv. wir verlieren leider was uns alle wÃ¼tend macht. auf dem heimweg schlagen wir bei einem kiosk die scheiben ein. als uns passanten ansprechen drÃ¼cke ich ihnen sofort die faust ins gesicht","Botswana","True","WordPad","False","Wasserschwein","True","Erde","True",8,"False","Indien","True","Arm","True","Dick Turpin","False","Bronze","True","Eisberg","False","Isobare","True",21,"True","Chrysler","False",360,"False","Venus","True","Nikita Chruschtschow","False","0","False","Deep Blue","True","KontinentalfuÃ","False","Faschismus","True","Stethoskop","False","Salvador Dali","False","Rio Grande","True","Im Rachen","True","Sibirien","True","Jupiter","True","Mozart","False","Luftdruck","True","Lecithin","False","Frankreich","True",23,"bwl","Deutsch","female","im dritten Jahr","wahrnehnungspsychologie","kognitive psychologie","zusammenhang von wissen und vorstellung","nein",NA,"nein",NA,"nein","nein",81,22,32,10,NA,NA,NA,NA,NA,NA,NA,NA,17,1,56.6666666666667,58.6206896551724
"20161102-095216","102","m",1,"UniversitÃ¤tsprofessor","Ich stehe morgens auf und trinke meinen Kaffee. Dazu lese ich eine Zeitung, dies kann eine regionale Zeitung oder auch ein Wissenschaftsmagazin sein. Anschliessend, wenn ich mich frisch rasiert und geduscht habe, gehe ich mit meinem Fahrrad oder wenn schlecht Wetter ist mit dm OV zur UniversitÃ¤t.An der Uni angekommen arbeite ich an einem Projekt oder Arbeit. anschliessend habe ich eine Vorlesung, die ich gebe. Nach der Uni gehe ich nach Hause und esse mit meiner Familie Abendessen. zweimal in der Woche treibe ich Sport zum ausgleich, gehe Joggen oder gehe mit Freunden Fussball spielen. vor dem Schlafen gehen lese ich noch eine Fachzeitschrift wÃ¤hrend meine Frau einen Roman liest. ","Zaire","False","HTML","False","Wasserschwein","True","Erde","True",12,"True","Pakistan","False","Arm","True","Sweeney Todd","False","Bronze","True","Welle","True","Isobare","True",21,"True","General Motors","True",360,"False","Venus","True","Alexander Popow","False","Strahlung","True","Blue Knight","False","Kontinentalrift","False","Faschismus","True","Penicillin","True","Salvador Dali","False","Colorado","False","In der Lunge","False","Sibirien","True","Jupiter","True","Tschaikowski","True","Luftdruck","True","Keratin","True","Frankreich","True",22,"Biologie
","Deutsch","male","im zweiten Jahr","keine ahnung","keine ahnung","Keine Ahnung","nein",NA,"nein",NA,"Nein","ja",55,18,50,15,NA,NA,NA,NA,NA,NA,NA,NA,19,0,63.3333333333333,63.3333333333333
"20161102-122325","103","w",1,"UniversitÃ¤tsprofessor","Ich stehe um 05:30 auf und mache FrÃ¼hstÃ¼ck fÃ¼r meine Familie. Am FrÃ¼hstÃ¼ckstisch lese ich wie jeden Tag die NZZ. Gegen 07:30 fahre ich mit dem Fahrrad an die Uni, wo ich meine Vorlesung mit meiner Assistentin bespreche. Ich kontrolliere die Folien und mache mich anschliessend auf in den Vorlesungssaal. Mittags esse ich mit meinen Arbeitskollegen aus der Fachschaft zusammen. Nachmittags nehme ich mir immer die Zeit an meinem neusten Paper zu arbeiten. Zu dieser Zeit beantworte ich die Mails, die mir Studenten oder ander Professoren geschriebn haben. Nach der Arbeit gehe ich mit dem Velo nach Hause. Ich lasse den Alltag revue-passieren wÃ¤hrend einer Runde Jogging. Nach dem gemeinsamen Abendessen mit meiner Familie gehen meine Frau und ich ins Theater - wir versuchen dies mindestens einnmal pro Woche zu tun. Wir sind beide sehr sportlich und kulturell interessiert; die Wochenenden verbringen wir dementsprechend mit Wandern oder mit Museumsbesuchen. Auch reisen wir mindestens jedes Jahr einmal ins entfernte Ausland.","Zaire","False","HTML","False","Wasserschwein","True","Erde","True",12,"True","Bangladesch","False","Arm","True","Guy Fawkes","True","Bronze","True","Welle","True","Isobare","True",21,"True","Chrysler","False",360,"False","Venus","True","Michail Gorbatschow","True","Strahlung","True","Deep Thought","False","Kontinentalrift","False","Faschismus","True","RÃ¶ntgenstrahlen","False","Paul Cezanne","False","Rio Grande","True","Im Rachen","True","Sibirien","True","Neptun","False","Mozart","False","Luftdruck","True","Keratin","True","Frankreich","True",23,"BWL","Deutsch","female","vier Jahre oder mehr","Sozialpsychologie","kognitive Psychologie","Ablenkung von den StudienfÃ¤chern","nein",NA,"nein",NA,"Nein","ja",92,22,23,5,NA,NA,NA,NA,NA,NA,NA,NA,19,0,63.3333333333333,63.3333333333333
"20161102-124513","104","m",1,"UniversitÃ¤tsprofessor","ich stehe frÃ¼h auf und mache mich bereit fÃ¼r meine erste vorlesung am tag. auf dem weg zur uni gehe ich noch kurz meine folien und den groben ablauf der vorlesung durch. da ich selber auch mal student war, habe ich verstÃ¤ndnis wenn der saal um 8:00 kaum gefÃ¼llt ist. nach der kaffeepause bereite ich die vorlesung am nachmittag vor und gehe spÃ¤ter mit meinen professorenkollegen in ein umliegendes restaurant essen. am nachmittag halte ich meine vorlesung und lasse mich vom gekicher und den ringenden smartphones nicht aus der ruhe bringen. am abend gehe ich joggen  und koche mit meiner frau gemÃ¼tlich das abendessen. spÃ¤ter lese ich zeitung oder schaue die nachrichten.","Zimbabwe","False","ASCII","True","Wasserschwein","True","Erde","True",8,"False","Indien","True","Arm","True","Guy Fawkes","True","Bronze","True","SÃ¤ule","False","Isobare","True",21,"True","Chrysler","False",360,"False","Venus","True","Boris Jeltsin","False","Strahlung","True","King Blue","False","Kontinentalabhang","False","Faschismus","True","Penicillin","True","Salvador Dali","False","Rio Grande","True","Im Rachen","True","Sibirien","True","Jupiter","True","Tschaikowski","True","Luftdruck","True","Keratin","True","Frankreich","True",21,"biologie","Deutsch","male","im zweiten Jahr","sozialpsychologie","kognitive psychologie","zusammenhang von PersÃ¶nlichkeitsmerkmalen auf intelligenz","nein",NA,"nein",NA,"nein","ja",70,22,50,15,NA,NA,NA,NA,NA,NA,NA,NA,21,0,70,70
"20161102-143536","105","w",1,"UniversitÃ¤tsprofessor","Mein Wekcer klingelt jeden Morgen um 6.15Uhr. Es ist Zeit aufzustehen. Zuerst frÃ¼hstÃ¼cke ich aller Ruhe. WÃ¤hrendessen lese ich die neuste Ausgabe ""der Bund"". Anschliessend wecke ich mein Sohn und verlasse kurz darauf das Haus und mache mich auf den Weg an die Uni. Dort Ã¼berprÃ¼fe ich als allerersts meine Email und beantworte die dringenden Mitteilungen sogleich. An manchen Tagen habe ich dann eine Vorlseung weshalb ich erst spÃ¤ter die andern Emails beantworten werde. Falls gerade kein Meeting und keine Vorleung ansteht forsche ich an meinem spannenden Proje","Zimbabwe","False","HTML","False","Biber","False","Mars","False",12,"True","Pakistan","False","Arm","True","Guy Fawkes","True","Messing","False","Eisberg","False","Isobare","True",21,"True","Chrysler","False",180,"True","Venus","True","Michail Gorbatschow","True","Strahlung","True","Blue Knight","False","Kontinentalsockel","True","Faschismus","True","Penicillin","True","Salvador Dali","False","Rio Grande","True","In der WirbelsÃ¤ule","False","Sibirien","True","Neptun","False","Tschaikowski","True","Luftdruck","True","Keratin","True","Frankreich","True",24,"VWL","Deutsch","female","vier Jahre oder mehr","Motivation","klinische Psychologie","ob man unterschiedlich Antwortet jenachdem in weche Person man sich reinversetzte","ja",NA,"nein",NA,"keine","ja",79,19,26,14,NA,NA,NA,NA,NA,NA,NA,NA,18,0,60,60
"20161102-164726","106","m",0,"FuÃballhooligan","Ich treffe mich jeden Abend mit meinen Hooligan Kollegen fÃ¼rs Feierabendbier. Ausser wenn natÃ¼rlich ein Spiel ansteht, dann bin ich im Stadion. Jeden zweiten Donnerstag treffe ich mich auch mit anderen Hooligans. Da polieren wir uns gegenseitig die Fresse. Ich bin tempramentvoll. Mir reisst schnell mal der Faden. Ich bin explosiv. Ich bin aber auch ein guter Freund. Immer da fÃ¼r meine Hooligans-Freunde (besonders wenns darum geht eine SchlÃ¤gerei anzuzetteln oder ein paar Bullen anzupÃ¶beln) Ich fahre auch gerne Motorbike, schaue nur Fussball, spiele aber selber nicht oder nicht regelmÃ¤ssig. ich bin ein BÃ¼et","Zaire","False","HTML","False","Biber","False","Mars","False",12,"True","Philippinen","False","Arm","True","Robin Hood","False","Messing","False","Welle","True","Isobare","True",21,"True","Chrysler","False",360,"False","Venus","True","Michail Gorbatschow","True","Druck","False","Deep Thought","False","Kontinentalsockel","True","Faschismus","True","Penicillin","True","Pablo Picasso","True","Colorado","False","In der Nase","False","Sibirien","True","Saturn","False","Tschaikowski","True","Luftdruck","True","Kollagen","False","Frankreich","True",24,"Volkswirtschaft
","Deutsch","male","vier Jahre oder mehr","Behavioral psychology
","cognitive psychology","keine Ahnung
","nein",NA,"nein",NA,"nein ","ja",85,21,35,12,NA,NA,NA,NA,NA,NA,NA,NA,15,0,50,50
"20161102-162649",NA,NA,0,"FuÃballhooligan
"," Ich bin ein Hooligan. Den Tag verbringe ich mit meinen gleichgesinnten Freunden. Am Abend wird reichlich Alkohol getrunken, um eine noch aggressivere Stimmung zu provozieren. An Tagen wo Fussball gespielt wird, bin ich mit meiner Gruppe selbstverstÃ¤ndlich im Stadion. Wir schauen kaum Fussball, sondern halten Ausschau nach gegnerischen Fans, welche uns provozieren. Nach dem Match wird keine Gelegenheit ausgelassen, um eine schÃ¶ne SchlÃ¤gerei anzuzettlen. Ich bin meistens aggressiv und feindlich gesinnt gegenÃ¼ber andersdenkenden. Trotz meiner AggressivitÃ¤t, welche ich gegen aussen ausstrahle, ist mein Leben leer und bedeutungslos. Ich habe einen einfachen Job, den ich nicht mag. Oft sitze ich alleine Zuhause und schlage die Zeit mit Alkohol und TV tod. 
 ","Uganda
","False","HTML
","False","Biber
","False","Pluto
","False",8,"False","Indien
","True","Arm
","False","Dick Turpin
","False","Bronze
","True","Welle
","True","Isobare
","True",21,"True","Ford
","False",180,"True","Merkur
","False","Michail Gorbatschow
","True","Strahlung
","False","Blue Knight
","False","Kontinentalrift
","False","Republik
","False","Penicillin
","True","Pablo Picasso
","False","Rio Grande
","False","Im Rachen
","True","Sibirien
","True","Neptun
","False","Tschaikowski
","True","Luftdruck
","True","Elastin
","False","Frankreich
","True",24,"BWL
","Deutsch
","male","vier Jahre oder mehr
","Sozialwissenschaften	","Naturwissenschaften
","Keine Ahnung
","ja
",NA,"ja
",NA,"Nein
",NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,13,0,43.3333333333333,43.3333333333333
"20161102-170913","109","m",1,"UniversitÃ¤tsprofessor","ich stehe am morgen auf, Vorlesung habe ich erst um 10. Daher bleibt mir genug Zeit fÃ¼r die NZZ und andere Zeitungen. Aktuelle Wirttschaftsthemen interessieren mich am meisten. Nach der Vorlesung EEssen mit anderen Leuten vom institut. Am Nachmittag verfolge ich meine eigene Forschung weiter, allerdings gehe ich bereits um 5 Uhr nach Hause. Am Abend zwinge ich mich auf FAhrrad und im Anschluss schaue ich die NAchrichten. Ins Bett gehe ich relÃativ frÃ¼h, da ich nicht mehr der jÃ¼ngste bin. Ich lese in meiner Freizeit sehr gerne oder schaue alte Filme, als sie noch gut waren. Mails von Studierenden beantworte ich nur ungerne, berechne mir allerdings jede Woche Zeit dafÃ¼r ein. ","Botswana","True","ASCII","True","Wasserschwein","True","Uranus","False",12,"True","Bangladesch","False","Arm","True","Guy Fawkes","True","Bronze","True","Welle","True","Isobare","True",21,"True","General Motors","True",180,"True","Venus","True","Michail Gorbatschow","True","Strahlung","True","Deep Blue","True","Kontinentalrift","False","Faschismus","True","Penicillin","True","Pablo Picasso","True","Rio Grande","True","Im Rachen","True","Sibirien","True","Jupiter","True","Mozart","False","Luftdruck","True","Keratin","True","Frankreich","True",25,"bWl","Deutsch","male","vier Jahre oder mehr","Sozialpsychologie","Allgemeinwissen","Keine Ahnung","ja",NA,"ja",NA,"nein","ja",59,21,46,17,NA,NA,NA,NA,NA,NA,NA,NA,26,0,86.6666666666667,86.6666666666667
